country,site,log,lat,MAT,MAP,duration,clay,Ph,SOC,crop_rotation,treatment,N_rate,ch4,sd_t
India,Sonitpur district,92.83,26.68,26,2300,S,23.5,5.65,9.4,DR,CF,40,7.17,0.2775
India,Sonitpur district,92.83,26.68,26,2300,S,23.5,5.65,9.4,DR,CF,40,8.1,0.3
India,Sonitpur district,92.83,26.68,26,2300,S,23.5,5.65,9.4,DR,CF,40,7.335,0.315
Thailand,Prachinburi Rice Research Center,101.22,14.01,27.9,1750,S,62.9,3.93,11.19489559,DR,CF,54,150.75,
Thailand,Prachinburi Rice Research Center,101.22,14.01,27.9,1750,S,62.9,3.93,11.19489559,DR,CF,80,13.5,
Thailand,Prachinburi Rice Research Center,101.22,14.01,27.9,1750,S,62.9,3.93,11.19489559,DR,CF,54,36,
Thailand,Prachinburi Rice Research Center,101.22,14.01,27.9,1750,S,62.9,3.93,11.19489559,DR,CF,80,89.25,
Thailand,Prachinburi Rice Research Center,101.22,14.01,27.9,1750,S,62.9,3.93,11.19489559,DR,CF,80,216.75,
Thailand,Prachinburi Rice Research Center,101.22,14.01,27.9,1750,M,62.9,3.93,11.19489559,DR,CF,80,16.5,
Thailand,Prachinburi Rice Research Center,101.22,14.01,27.9,1750,M,62.9,3.93,11.19489559,DR,CF,80,141,
Thailand,Chombung District,99.5,13.58,26.7,1022,S,2,5.8,4,SR,IF,80.9,180.525,
Thailand,Bansang district,101.22,14.01,28,1700,S,62,4.8,20,DR,CF,70,12.975,
Thailand,Bansang district,101.22,14.01,28,1700,S,62,4.8,20,DR,IF,70,6.6,
Thailand,Bansang district,101.22,14.01,28,1700,S,62,4.8,20,DR,IF,70,15.75,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,71.25,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,180,50.25,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,171,50.25,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,117,78,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,199.5,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,172.5,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,168.75,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,180.75,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,153,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,138,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,180,171,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,180,108.75,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,388.5,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,245.25,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,180,398.25,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,107.25,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,120,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,120,204,
Philippines,Nueva Ecija,120.89,15.67,26,1780,S,43,6.88,13.2,DR,CF,150,67.5,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,25.4163,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,23.236875,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,26.9001,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,25.8687,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,45.483075,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,39.19545,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,43.121775,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,41.6814,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,31.95945,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,27.85515,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,34.364475,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,100,30.1968,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,50.07645,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,44.1477,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,48.0795,
India,Cuttack,86.57,20.73,27.6,1500,S,,6.7,6.7,DR,CF,80,47.889,
India,Cuttack,86.57,20.73,27.6,1500,S,25.9,6.16,6.6,SR,CF,40,34.035,0.9225
India,Cuttack,86.57,20.73,27.6,1500,S,25.9,6.16,6.6,SR,CF,40,38.4975,2.895
India,Cuttack,85.93,20.45,27.6,1500,S,27.9,6.5,14.5,DR,CF,90,126.15,
India,Cuttack,85.93,20.45,27.6,1500,S,27.9,6.5,14.5,DR,CF,90,196.575,
India,Cuttack,85.93,20.45,27.6,1500,S,27.9,6.5,14.5,DR,CF,90,144.525,
India,Cuttack,86.5,20.2,27.6,1500,S,25.9,6.8,9,DR,CF,40,127.8585,8.415
India,Cuttack,86.5,20.2,27.6,1500,S,25.9,6.8,9,DR,CF,40,197.6988,2.535
India,Cuttack,86.5,20.2,27.6,1500,S,25.9,6.8,9,DR,CF,70,15.053325,3.675
India,Cuttack,86.5,20.2,27.6,1500,S,25.9,6.8,9,DR,CF,35,75.6462,13.3125
India,Cuttack,86.5,20.2,27.6,1500,S,25.9,6.8,9,DR,CF,35,17.088,0.4725
India,Cuttack,86.5,20.2,27.6,1500,S,25.9,6.8,9,DR,CF,35,62.7858,4.44
India,Cuttack,86.5,20.2,27.6,1500,S,25.9,6.8,9,DR,CF,70,34.927875,0.795
Spain,,-5.7,39.1,16,480,S,13.5,5.84,15.6,SR,CF,114,154.5,
Spain,,-5.7,39.1,16,480,S,17,5.64,9.24,SR,CF,114,5.475,
Spain,,-5.7,39.1,16,480,S,17,5.64,9.24,SR,CF,114,241.5,
Spain,,-5.7,39.1,16,480,S,13.5,5.84,15.6,SR,CF,114,76.5,
Spain,,-5.7,39.1,16,480,S,17,5.64,9.24,SR,CF,114,177.75,
Spain,,-5.7,39.1,16,480,S,13.5,5.84,15.6,SR,CF,114,49.2,
Spain,,-5.7,39.1,16,480,S,17,5.64,9.24,SR,CF,114,375,
Japan,Chiba,140.04,35.7,15,1399,S,,5.8,37.7,SR,CF,70,-1.125,0.225
Japan,Chiba,140.04,35.7,15,1399,S,,5.8,37.7,SR,CF,70,5.7,4.725
China,Chongqing,106.43,30.43,19.4,760.3,S,,6.83,25.29,SR,CF,152,193.5975,11.055
China,Chongqing,106.43,30.43,19.4,760.3,S,,6.83,25.29,RU,CF,152,35.1675,3.18
China,Chongqing,106.43,30.43,19.4,760.3,S,,6.83,25.29,RU,CF,90,92.37,17.0925
Japan,Kamikawa,140.45,43.85,8,1000,S,,6.1,13,SR,CF,90,67,
Japan,Kamikawa,140.45,43.85,8,1000,S,,6.1,13,SR,CF,90,35,
Japan,Kamikawa,140.45,43.85,8,1000,S,,6.1,13,SR,IF,90,38,
Japan,Kamikawa,140.45,43.85,8,1000,S,,6.1,13,SR,CF,90,75,
Japan,Kamikawa,140.45,43.85,8,1000,S,,6.1,13,SR,IF,90,62,
Japan,Kamikawa,140.45,43.85,8,1000,S,,6.1,13,SR,CF,90,377,
China,Jingzhou,112.1,30.38,16.7,1200,S,,6.4,25.3,DR,CF,195,155.7,13.125
China,Jingzhou,112.1,30.38,16.7,1203,S,,6.4,25.3,DR,CF,195,190.125,18.75
China,Jingzhou,112.1,30.38,16.7,1204,S,,6.4,25.3,DR,CF,195,171.225,14.55
China,Jingzhou,112.1,30.38,16.7,1207,S,,6.4,25.3,DR,CF,195,166.5,14.85
China,Jingzhou,112.1,30.38,16.7,1208,S,,6.4,25.3,DR,CF,195,82.5,9.15
China,Jingzhou,112.1,30.38,16.7,1211,S,,6.4,25.3,DR,CF,195,59.475,5.325
China,Jingzhou,112.1,30.38,16.7,1212,S,,6.4,25.3,DR,CF,195,235.425,20.1
China,Jingzhou,112.1,30.38,16.7,1215,S,,6.4,25.3,DR,CF,195,221.025,22.575
China,Jingzhou,112.1,30.38,16.7,1216,S,,6.4,25.3,DR,CF,195,164.775,13.2
China,Jingzhou,112.1,30.38,16.7,1219,S,,6.4,25.3,DR,CF,195,139.65,12.45
China,Jingzhou,112.1,30.38,16.7,1220,S,,6.4,25.3,DR,CF,195,129.3,6.975
China,Jingzhou,112.1,30.38,16.7,1223,S,,6.4,25.3,DR,CF,195,202.425,16.5
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,24.6,0.525
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,26.325,0.5625
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,IF,120,17.475,0.225
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,2.925,0.0975
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,3.6,0.0675
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,30.3,0.495
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,32.55,0.4425
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,IF,120,22.65,0.3375
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,5.025,0.1875
India,New Delhi,77.2,28.67,26,750,S,21,8.1,4.6,RU,CF,120,6.075,0.1425
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.5,14,SR,CF,90,165,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.5,14,SR,CF,90,170,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.5,14,SR,CF,90,147,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.2,11.9,SR,CF,90,128,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.2,11.9,SR,CF,90,113,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.2,11.9,SR,CF,90,180,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.2,11.9,SR,IF,90,105,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.2,11.9,SR,CF,90,154,
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.2,11.9,SR,CF,90,160,
China,Sanya,109.6,18.29,25.5,1347.5,S,19.51,5.91,7.784222738,RU,CF,180,4.935,1.1925
China,Sanya,109.6,18.29,25.5,1347.5,S,19.51,5.91,7.784222738,RU,CF,144,6.0375,1.4175
South korea,Jinju,128.43,36.83,13.6,1223,S,,6.5,14,SR,CF,90,165,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,CF,120,29.85,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,IF,120,24.3,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,CF,120,26.1,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,IF,120,22.5,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,CF,120,17.0025,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,IF,120,7.2825,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,IF,120,9.3525,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,IF,120,10.08,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,CF,120,17.25,
India,New Delhi,77.2,28.67,26,750,S,16.1,8.2,4.1,DR,IF,120,13.425,
India,New Delhi,77.2,28.67,26,750,M,16.1,8.2,4.1,DR,CF,120,12.435,
India,New Delhi,77.2,28.67,26,750,M,16.1,8.2,4.1,DR,IF,120,9.6975,
Philippines,Los Baños,121.26,14.16,27.4,2115,S,54.2,6.3,18,DR,CF,130,56.9,21.3
Philippines,Los Baños,121.26,14.16,27.4,2115,S,54.2,6.3,18,DR,CF,130,99.12,26.1
Philippines,Los Baños,121.26,14.16,27.4,2115,S,54.2,6.3,18,DR,CF,130,107.09,27.3
Philippines,Los Baños,121.26,14.16,27.4,2115,S,54.2,6.3,18,RU,CF,130,101.39,14.1
Philippines,Los Baños,121.26,14.16,27.4,2115,S,54.2,6.3,18,RU,CF,130,101,17.4
Philippines,Los Baños,121.26,14.16,27.4,2115,S,54.2,6.3,18,RU,CF,130,55.96,22.1
Philippines,Los Baños,121.26,14.16,27.4,2115,S,54.2,6.3,18,RU,CF,130,60.95,10.9
South korea,,128.12,35.1,13,1500,S,,6.16,19.8,SR,CF,90,286.29,
Indonesia,,119.58,-4.98,27.1,2923,S,38,6.7,20.5,DR,CF,150,137.7,24.6
Indonesia,,119.58,-4.98,27.1,2923,S,38,6.7,20.5,DR,IF,150,102.8,29.2
South korea,Suncheon-si,127.5,35,13,1500,S,,4.95,2.018561485,SR,CF,90,96.675,
South korea,Suncheon-si,127.5,35,13,1500,S,,6.82,14.70417633,SR,CF,90,93.525,
South korea,Jinju,128.12,35.11,13,1500,S,,5.6,8.9,SR,CF,45,257,
South korea,Jinju,128.12,35.11,13,1500,S,,5.6,8.9,SR,CF,90,294,
South korea,Jinju,128.12,35.11,13,1500,S,,5.6,8.9,SR,CF,180,330,
South korea,Jinju,128.12,35.11,13,1500,S,,5.6,8.9,SR,CF,45,228,
South korea,Jinju,128.12,35.11,13,1500,S,,5.6,8.9,SR,CF,90,253,
South korea,Jinju,128.12,35.11,13,1500,S,,5.6,8.9,SR,CF,180,284,
